ticker,id_share,industry,Index,P/E,EPS (ttm),Insider Own,Perf Week,Forward P/E,EPS next Y,Insider Trans,Perf Month,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,Market Cap_full_count,Income_full_count,Sales_full_count,Shs Outstand_full_count,Shs Float_full_count,Avg Volume_full_count,52_w_range_low,52_w_range_high,Volatility_low_%,Volatility_high_%
ATUS,612,Communication Services,-,6.77,2.19,13.37,-0.74,9.0,-20.89,0.23,-8.34,0.2,0.51,53.6,20.31,-14.03,0.39,256.4,2.32,7.35,-48.52,-2.39,,3.2,25.07,-57.2,0.86,17.15,34.06,-88.5,-8.34,,3.8,,6.7,-61.17,1.05,,0.2,,66.6,15.27,0.71,8900.0,0.2,5.8,24.6,47.91,Yes,,,10.6,0.41,15.3,Yes,,Feb 16 AMC,0.0,14.83,2.4,0.49,-4.27,-40.15,3370344.0,-3.07,3990000000000.0,1070000000000.0001,10110000000000.0,268860000.0,221860000.0,6130000.0,12.86,38.19,3.94,5.14
ATSPT,613,Financial,-,,,,-0.37,,,,-0.6,,,,,0.61,,,,0.21,1.65,,,,,,,,,,0.05,,,,,-1.2,,,,,,119.56,0.05,,,,,47.76,No,,,,0.11,9.86,Yes,,-,,9.88,,-0.29,-0.12,0.57,6921.0,0.2,,,,,,64459.99999999999,4.5,10.0,0.16,0.38
ATTO,614,Industrials,-,,-3.33,1.49,0.41,13.09,258.1,0.0,-9.44,,0.23,79.2,0.12,-6.97,0.26,40.9,8.59,0.25,-9.53,4.31,5.64,-4.1,27.67,3.71,11.84,2.05,12.0,-52.7,-4.78,,3.84,-24.1,4.2,-20.25,1.49,,1.4,-6.2,,29.65,1.3,139805.0,1.4,-1.3,2.9,48.06,No,11.56,-173.0,-3.3,0.38,24.18,Yes,9.57,Nov 15 AMC,,24.31,2.3,-1.03,-0.65,-0.95,6865.0,0.54,367080000.0,-46900000.0,1410000000000.0,14090000.0,3860000.0,17820.0,18.75,30.48,2.77,5.23
ATXI,615,Healthcare,-,,-0.23,6.8,-19.98,,13.6,-0.55,-33.9,,-0.05,5.4,5.12,-53.88,,81.1,-5.55,0.82,-66.39,-0.01,,-215.7,,-91.29,0.03,18.74,,-353.2,-34.48,,,13.0,,-92.11,0.69,,0.8,,,-1.03,0.09,4.0,0.8,,,30.21,No,,15.8,,0.99,0.71,Yes,,-,,0.59,3.0,-21.26,-35.67,-70.27,544126.0,-16.22,11240000.0,-3800000.0,,16629999.999999998,8150000.0,509560.0,0.6,7.54,16.11,13.6
ATSPU,616,Financial,-,,,0.18,1.59,,,0.0,2.2,,,24.4,0.01,2.81,,,-6.76,0.07,2.61,7.64,1.34,,,,0.03,297.69,,,-0.68,,,,,-8.33,,,2.7,,,4.92,0.13,,2.7,,,53.18,No,0.0,,,0.01,10.22,Yes,0.0,-,,10.23,,0.49,0.68,2.29,120.0,0.14,178620000.0,,,17460000.0,17440000.0,15190.0,9.75,11.16,0.0,0.72
ATSG,617,Industrials,-,11.0,2.51,1.3,4.46,14.66,12.41,4.02,2.68,22.0,0.54,98.7,1.93,2.45,1.25,-51.6,-0.76,4.53,2.45,16.04,1.72,6.2,33.0,-1.04,0.67,41.42,0.5,19.0,-5.99,,,-7.0,8.1,-12.26,0.58,,0.9,20.5,55.2,28.94,0.85,5305.0,1.1,15.3,17.8,54.0,Yes,1.16,936.6,11.6,0.99,27.93,Yes,1.16,Nov 04 AMC,0.0,27.62,1.7,3.01,0.36,7.01,309223.0,-1.11,2060000000000.0,186800000.0,1650000000000.0,73720000.0,72940000.0,311560.0,21.42,31.48,2.61,3.31
ATRS,618,Healthcare,-,9.71,0.38,0.2,7.35,20.62,96.67,0.0,3.99,,0.01,50.1,2.1,-3.44,3.59,50.0,-0.51,5.05,-7.83,0.78,4.68,32.3,6.33,-21.34,,,,58.4,2.24,,56.44,34.1,37.4,-28.01,1.5,,1.5,26.8,60.0,17.36,0.11,185.0,1.8,38.9,14.1,62.86,Yes,0.2,96.7,37.7,1.1,3.62,Yes,0.02,Nov 04 BMO,0.0,3.65,1.7,6.85,7.47,-3.86,760542.0,0.83,615170000.0,64599999.99999999,171200000.0,169040000.0,166240000.0,689990.0,3.11,5.07,2.75,3.5
ATRO,619,Industrials,-,,-1.53,5.1,14.01,29.77,150.6,0.04,-0.53,,0.0,77.9,1.67,-8.9,0.94,-334.6,1.41,2.6,-7.22,8.13,1.61,-7.7,17.05,-15.81,0.91,14.37,,-18.2,9.17,,,-28.3,-23.3,-37.4,1.89,,1.7,-6.2,14.9,31.79,0.66,2200.0,3.3,5.0,-5.7,60.1,Yes,0.73,-35.7,-10.6,0.7,12.87,Yes,0.73,Nov 08 BMO,,13.1,2.2,6.13,10.8,-9.6,123388.0,1.79,418280000.0,-47200000.0,443700000.0,30950000.0,27720000.0,177730.0,9.94,20.93,4.09,5.38
AVCO,620,Healthcare,-,,-0.12,62.96,2.51,,,0.0,1.76,,,1.4,2.4,-19.61,47.79,33.7,,5.04,-26.13,0.02,41.0,-92.9,,-44.59,0.01,143.37,,-284.7,0.0,,,,-161.7,-50.3,0.58,,0.3,,29.6,23.1,0.07,6.0,0.3,66.7,,54.49,No,2.32,41.2,,1.43,0.8,Yes,2.11,-,,0.82,,9.01,-0.55,-14.58,214175.0,3.02,71680000.0,-9900000.0,1500000.0,85360000.0,31860000.0,151910.0,0.67,1.65,6.26,10.08
AVA,621,Utilities,-,19.27,2.24,0.8,-2.67,20.38,2.32,-0.98,1.39,3.11,0.67,84.7,2.15,5.64,2.2,-36.0,0.79,4.37,2.82,30.0,1.44,2.4,42.0,9.2,0.27,159.08,6.2,7.5,1.39,1.69,,0.2,5.2,-12.33,0.61,3.92,0.3,-2.3,,14.67,0.95,1200.0,0.4,8.6,17.7,44.34,Yes,1.16,187.1,11.2,1.19,44.28,Yes,0.95,Feb 23 BMO,74.6,43.08,3.2,-2.1,1.75,1.7,409053.0,-2.71,3050000000000.0,155200000.0,1390000000000.0,70770000.0,70140000.0,345210.0,37.57,49.14,2.2,2.32
ATRI,622,Healthcare,-,37.22,17.7,8.3,9.58,,,-0.19,-2.77,,,67.3,4.54,-17.66,7.18,-11.6,0.97,13.07,4.11,132.71,4.97,12.0,,-4.27,31.17,21.14,,13.4,-6.51,7.8,148.27,2.4,12.2,-18.2,0.16,1.18,5.8,0.3,42.0,13.63,18.79,636.0,9.0,26.9,22.0,53.83,No,0.0,16.0,20.6,1.47,657.95,Yes,0.0,-,40.6,659.0,,3.55,-1.46,-1.38,7105.0,0.16,1130000000000.0,32299999.999999996,157000000.0,1800000.0,1400000.0,4860.0,579.96,805.62,3.22,2.62
AVAC,623,Financial,-,,,,0.1,,,,0.2,,,14.0,0.03,,,,409.8,0.05,,0.01,1976.0,,,,0.0,,,,0.0,,,,,-0.6,,,1.1,,,0.51,0.02,,1.1,,,52.29,No,,,,0.02,9.88,Yes,,-,,9.88,,0.08,0.12,0.12,2041.0,0.0,256880000.0,,,26000000.0,20860000.0,118110.0,9.83,9.94,0.16,0.17
AVB,624,Real Estate,S&P 500,33.53,7.22,0.2,-3.28,53.21,15.58,-9.69,-2.89,13.2,0.96,90.1,1.48,0.68,15.21,4.7,-1.32,2.85,8.86,77.39,3.13,5.6,266.57,35.25,2.28,106.16,2.54,9.9,-4.19,6.36,132.52,1.3,2.6,-6.03,0.93,2.63,,4.4,61.9,39.71,6.27,3090.0,,2.4,15.9,45.84,Yes,0.72,-46.2,47.6,1.23,248.75,Yes,0.72,Feb 02 AMC,82.7,242.0,2.6,-1.31,-1.54,6.42,881033.0,-2.71,34220000000000.0,1010000000000.0,2250000000000.0,139390000.0,139290000.0,724030.0,173.21,257.52,2.69,2.57
AVAV,625,Industrials,-,,-0.02,0.2,7.88,33.59,38.6,-54.2,-2.15,,0.4,84.1,2.9,-33.93,3.41,-44.2,2.27,2.41,-41.42,24.35,2.49,0.0,77.57,-55.15,4.51,13.44,18.2,-0.1,-2.19,,240.82,7.6,5.3,-57.36,0.36,,2.8,11.1,36.4,16.61,1.91,1165.0,3.6,31.6,1.9,53.68,Yes,0.32,17.2,-0.1,0.53,60.78,Yes,0.3,Dec 07 AMC,,60.67,2.4,4.87,-2.58,-32.25,155924.0,-0.18,1490000000000.0,-300000.0,437800000.0,24640000.0,23220000.0,279970.0,52.03,142.29,3.22,3.57
AVAN,626,Financial,-,39.64,0.25,0.17,0.2,,,0.0,-0.1,,,73.7,0.03,0.1,,,0.08,0.22,1.03,7.33,1.34,3.1,,-8.13,0.0,2457.83,,3.5,0.1,,,,,-13.77,,,1.4,,,3.04,0.02,,1.4,,,55.53,Yes,0.0,,,0.33,9.83,Yes,0.0,-,0.0,9.83,,0.15,0.06,0.42,28754.0,0.0,737350000.0,18600000.0,,75000000.0,59900000.0,86680.0,9.54,11.4,0.17,0.21
AVAL,627,Financial,-,7.16,0.76,,-2.33,6.72,6.6,,4.62,,0.23,2.24,0.16,-3.89,,31.0,,2.97,2.84,5.16,1.05,,6.53,-19.53,,,,,6.46,0.28,,8.85,,-21.16,,5.15,,,,7.72,0.13,70061.0,,16.9,,47.96,No,,12.9,,0.48,5.42,Yes,,Nov 18 BMO,,5.44,2.7,-1.78,1.37,-3.34,51054.0,0.37,6060000000000.0,,,1110000000000.0,195710000.0,105970.0,5.05,6.9,1.95,2.17
AVACU,628,Financial,-,,,,0.1,,,,-0.79,,,10.07,0.01,,,,,0.05,,0.01,2020.0,,,,,,,,-0.59,,,,,-0.98,,,,,,1.0,0.03,,,,,48.09,No,,,,0.06,10.08,Yes,,-,,10.1,,-0.15,-0.18,-0.01,1573.0,0.2,,,,,19370000.0,28250.0,10.0,10.2,0.16,0.16
AVAH,629,Healthcare,-,,-0.03,3.1,1.32,9.56,34.05,0.8,-21.0,,0.12,94.3,1.4,-39.14,0.57,25.4,0.38,6.0,-46.2,4.1,1.31,,12.27,,0.69,7.83,37.98,,-27.3,,,,-0.6,-58.62,,,1.6,,,8.03,0.36,42000.0,1.6,12.4,,40.18,Yes,1.11,,,0.49,5.32,Yes,1.1,Nov 15 AMC,,5.38,1.7,-4.98,-14.74,-39.49,198741.0,1.13,953120000.0,,1690000000000.0,184550000.0,172260000.0,401290.0,4.98,13.0,6.48,6.79
AUVI,630,Consumer Cyclical,-,,-1.07,2.3,12.42,,11.9,10.06,-17.73,,-0.22,2.8,1.47,-65.06,1.91,-215.7,-0.75,0.05,-76.71,2.93,0.62,-31.6,10.88,-86.89,1.23,1.47,,-39.4,-32.96,,,,-33.1,-93.28,,,5.0,,31.7,22.3,0.21,37.0,5.4,125.0,-70.2,38.57,No,0.01,17.7,-74.0,0.06,1.82,Yes,0.0,Nov 16 BMO,,1.81,1.0,0.17,-41.23,-71.55,60004.0,-0.55,17210000.0,-6700000.0,9000000.0,9420000.0,3290000.0,1040000.0,1.48,26.94,5.6,9.14
AUSF,631,Financial,-,,,,-0.24,,,,-3.31,,,,,-0.93,,,,,1.41,,,,,13.76,,,,,-3.8,0.74,,,,-4.24,,2.41,,,,14.36,0.31,,,,,46.52,No,,,,1.2,31.15,No,,-,,30.73,,-0.38,-0.98,1.07,6679.0,-1.34,,,,,,5670.0,26.87,32.09,0.55,0.76
AUY,632,Basic Materials,-,27.76,0.15,0.2,2.26,14.07,0.0,0.0,1.24,,0.08,60.7,1.04,-6.42,2.23,-9.9,3.97,0.61,-2.39,4.5,0.91,1.7,6.42,-17.24,0.5,8.11,,3.2,-3.32,0.12,17.07,16.2,5.6,-25.0,1.51,2.94,1.4,-1.9,61.6,10.27,0.14,5128.0,1.8,2.9,35.1,47.99,Yes,0.19,-52.0,7.9,1.09,4.2,Yes,0.18,Feb 17 AMC,73.8,4.08,2.3,-2.05,0.31,-6.04,17859644.0,-2.86,3950000000000.0,140600000.0,1770000000000.0,964720000.0,958690000.0,16280000.000000002,3.7,5.44,3.19,3.71
AUTO,633,Communication Services,-,,-0.3,42.08,0.72,,-38.1,0.0,-13.54,,-0.2,19.7,3.93,-2.77,0.53,55.5,,2.73,8.91,1.12,2.51,-9.8,5.08,-19.71,0.74,3.81,25.0,-24.2,-17.35,,,-27.8,-19.8,-35.4,2.29,,1.3,-10.5,31.9,26.01,0.22,149.0,1.3,-3.4,-6.6,42.98,Yes,0.68,-577.4,-5.6,0.1,2.81,Yes,0.0,Nov 04 AMC,,2.81,2.2,-4.55,-10.8,-3.99,11820.0,0.0,37740000.0,-4000000.0,71000000.0,13250000.0,7800000.0,112240.0,2.23,4.35,5.4,8.68
AUTL,634,Healthcare,-,,-2.29,25.23,11.41,,2.6,0.0,-3.97,,-0.47,59.7,9.1,-30.14,123.33,4.2,78.23,5.27,-24.88,3.36,1.37,-45.1,12.72,-35.71,2.48,1.85,,-55.2,-11.56,,,-53.5,-68.6,-44.23,1.5,,6.9,7.2,,29.48,0.31,376.0,6.9,-71.4,,53.8,Yes,0.0,34.9,,1.01,4.54,Yes,0.0,Nov 03 BMO,,4.59,2.0,11.1,-8.16,-23.21,588427.0,1.1,320660000.0,-143300000.0,2600000.0,72900000.0,33020000.000000004,570590.0,3.55,8.23,7.96,6.99
AUUD,635,Technology,-,,-1.11,27.8,26.67,,68.4,0.0,9.42,,-0.16,3.7,3.26,-17.06,4869699.8,22.5,-1.37,0.6,-25.09,0.83,2.52,-153.9,9.0,,0.7,3.01,,-458.0,17.42,,,9.1,198.6,-77.53,,,12.9,-28.1,,40.69,0.14,11.0,12.9,,,63.71,No,0.03,-101.7,,0.47,2.03,Yes,0.0,-,,2.09,2.0,19.48,12.57,-22.36,230402.0,2.96,24350000.0,-12700000.0,0.0,12380000.0,8960000.0,489040.0,1.49,9.3,8.99,7.61
AUPH,636,Healthcare,-,,-1.21,0.2,10.68,,70.9,-82.73,-4.65,,-0.27,39.4,7.91,-37.04,32.03,8.8,-0.6,2.49,22.21,2.32,8.04,,31.56,16.93,2.31,8.07,,,-18.45,,,-8.4,-25.6,-45.1,0.83,,8.3,192.3,99.2,91.87,1.34,294.0,8.8,50475.9,,52.17,Yes,0.0,-13.6,,0.66,18.92,Yes,0.0,Nov 03 BMO,,18.65,1.6,7.64,-3.71,3.73,2524711.0,-1.43,2310000000000.0,-155700000.0,72200000.0,128440000.0,119740000.0,3800000.0,9.72,33.97,5.57,8.36
AUS,637,Financial,-,,,,-0.1,,,,-0.21,,,87.5,0.38,-2.7,,,-0.18,0.53,-1.62,6.24,1.56,,,,0.0,4800.3,,,0.21,,,,,-4.23,,,0.1,,,0.41,0.03,,0.1,,,48.51,Yes,0.0,,,1.34,9.74,Yes,0.0,-,,9.73,,0.07,-0.24,-1.51,382885.0,-0.1,960060000.0,,,98570000.0,39430000.0,284990.0,9.69,10.16,0.16,0.26
AURCU,638,Financial,-,,,0.01,-0.4,,,,-7.16,,,2.28,0.01,-3.85,,,,0.05,-2.63,0.14,72.32,,,,,,,,-1.58,,,,,-13.67,,,,,,2.04,0.09,,,,,35.34,No,,,,0.0,9.98,Yes,,-,,9.98,,-1.79,-3.17,-2.88,7.0,0.0,,,,,22310000.0,56740.0,9.78,11.56,0.0,0.56
AUR,639,Technology,-,,-2.69,0.6,20.89,,-53.2,0.0,-33.83,,-0.12,23.8,30.66,-41.53,94.83,,50.4,5.4,-41.77,7.41,0.77,,12.31,,0.0,17575.06,,,-49.11,,,,,-67.76,,,0.2,,,45.43,0.72,,0.2,,,41.49,Yes,0.0,,,0.64,5.86,Yes,0.0,-,,5.73,2.3,1.22,-37.58,-41.76,2267266.0,-2.22,5270000000000.0,,55600000.0,122190000.0,62470000.0,3540000.0,3.94,17.77,16.16,12.52
AURA,640,Healthcare,-,,-97.02,25.32,0.71,,60.8,0.0,4.21,,-0.39,30.73,1.14,12.73,,,,1.61,,-295.93,,,37.67,,,,,,7.95,,,,,-29.93,,,,,,35.78,1.28,,,,,53.34,No,,,,0.15,18.11,Yes,,-,,18.33,1.5,3.11,5.51,2.7,12245.0,1.21,535429999.99999994,,,29210000.0,11280000.0,79910.0,13.5,26.16,5.88,7.22
AVEM,641,Financial,-,,,,2.41,,,,-0.43,,,,,-1.16,,,,,-2.89,,,,,-6.9,,,,,1.28,0.96,,,,-9.0,,1.5,,,,6.09,0.88,,,,,56.33,No,,,,1.03,64.61,Yes,,-,,64.13,,1.53,1.45,-2.48,121200.0,-0.74,,,,,,118470.0,60.45,70.47,1.07,1.19
AVGO,642,Technology,S&P 500,39.39,15.01,0.2,1.81,16.39,9.19,-3.98,-4.93,2.67,7.92,82.2,1.11,7.76,8.75,137.1,0.36,1.73,22.12,60.44,9.78,8.5,677.67,23.61,29.93,19.76,14.74,26.5,-11.13,16.4,33.8,40.0,12.8,-12.75,1.03,2.77,2.4,15.7,61.4,41.09,20.72,20000.0,2.6,14.5,31.0,50.13,Yes,1.59,51.3,23.4,0.9,611.34,Yes,1.58,Mar 03 AMC,91.8,591.36,1.9,2.62,-2.32,14.0,2491954.0,-3.27,240310000000000.0,6440000000000.0,27450000000000.0,413000000.0,403010000.0,2570000.0,419.14,677.76,3.03,3.71
AVDX,643,Technology,-,,-4.14,5.5,16.6,,0.0,0.0,-9.82,,-0.2,6.3,2.84,-52.76,9.34,-54.1,,5.02,,-9.89,,,22.9,,0.81,14.37,,,-22.58,,,,22.3,-57.5,,,1.1,,59.7,43.07,1.04,1500.0,1.1,37.0,-62.7,48.76,Yes,,,,0.6,11.57,Yes,,Nov 16 AMC,,11.66,2.0,10.2,-16.83,-34.54,602469.0,0.78,2170000000000.0,,232100000.0,185980000.0,176420000.0,998500.0,8.15,27.43,7.68,9.58
AVDV,644,Financial,-,,,,1.5,,,,-1.56,,,,,-2.81,,,,,-2.89,,,,,6.16,,,,,-0.45,0.9,,,,-5.32,,1.4,,,,7.48,0.92,,,,,54.72,Yes,,,,1.26,64.81,Yes,,-,,64.26,,1.14,1.07,-1.49,218830.0,-0.85,,,,,,175310.0,59.79,67.87,0.99,1.28
AVEO,645,Healthcare,-,,-1.94,0.2,8.21,,76.1,37.49,-8.44,,-0.25,44.7,3.07,-48.1,4.67,-372.3,-0.06,3.09,-40.58,1.49,2.48,-55.3,17.25,-54.67,2.91,1.27,,-105.1,-21.32,,,9.2,-79.2,-79.77,1.1,,4.8,-20.6,89.4,20.59,0.27,49.0,4.8,322.2,,44.87,Yes,0.64,7.3,,0.97,3.7,Yes,0.64,Nov 08 AMC,,3.69,1.2,2.84,-18.1,-38.3,328177.0,-0.27,119150000.0,-57600000.0,25500000.0,34370000.0,34320000.0,341460.0,3.06,18.24,5.86,7.04
AVDE,646,Financial,-,,,,1.16,,,,-1.71,,,,,-3.21,,,,,-3.2,,,,,4.82,,,,,-1.15,0.93,,,,-4.77,,1.48,,,,7.02,0.83,,,,,52.03,No,,,,0.71,63.4,Yes,,-,,62.66,,0.66,0.19,-1.56,94361.0,-1.17,,,,,,132860.0,58.55,65.8,0.92,1.19
AVDL,647,Healthcare,-,,-1.13,1.07,8.52,,23.4,0.0,-0.3,,-0.41,57.1,13.69,-39.65,,95.7,3.67,11.33,-18.07,1.69,3.92,-23.0,17.85,-27.17,3.08,2.15,15.0,-51.3,-18.07,,,-15.3,3.0,-42.88,1.17,,,-33.6,,34.28,0.43,32.0,11.7,,,52.86,Yes,1.44,-86.8,,0.9,6.31,Yes,1.44,Nov 08 BMO,,6.62,1.5,9.22,-7.07,-17.69,388918.0,4.91,388730000.0,-66300000.0,0.0,58590000.0,35640000.0,430700.0,4.93,11.59,5.64,7.43
AVIR,648,Healthcare,-,25.92,0.27,18.43,3.68,,-1104.8,0.08,-10.65,,0.17,75.1,4.64,-33.93,2.8,23.6,8.36,1.76,-77.34,7.02,1.0,2.9,8.5,-91.98,10.16,0.69,,4.3,-21.14,,,,-2.0,-92.51,,,3.2,,,17.11,0.43,56.0,3.2,,18.2,44.44,Yes,0.0,-56.0,11.9,1.01,7.11,Yes,0.0,Nov 11 AMC,0.0,7.05,2.4,2.06,-9.56,-64.6,1784198.0,-0.84,582470000.0,24700000.0,207800000.0,82820000.0,67760000.0,1780000.0,6.02,94.17,4.82,5.99
AVID,649,Communication Services,-,41.73,0.72,6.3,2.81,19.76,24.47,-1.81,2.99,2.78,0.42,77.7,2.7,-7.04,3.42,41.0,1.07,3.29,7.46,-2.77,,12.4,42.5,25.15,1.12,26.77,15.0,-25.4,-8.01,,22.06,32.0,40.0,-25.99,1.2,,0.8,-6.5,64.0,68.41,1.51,1362.0,1.0,12.4,12.1,47.65,Yes,,78.3,8.4,0.58,31.04,Yes,,Nov 09 AMC,0.0,29.96,2.4,-1.71,-3.59,-3.5,209852.0,-3.48,1350000000000.0,33299999.999999996,395200000.0,45560000.0,42060000.0,345200.0,17.79,40.48,3.56,5.66
AVD,650,Basic Materials,-,20.8,0.71,0.5,0.68,17.53,25.19,1.97,-8.64,,0.24,80.7,0.81,-16.23,0.85,10.8,-0.21,1.38,-1.2,12.32,1.2,3.0,23.5,-22.13,0.54,27.53,-1.0,5.9,-9.64,0.08,7.95,17.7,4.2,-34.15,0.89,0.54,1.2,9.7,38.0,4.59,0.42,771.0,2.1,25.5,5.8,37.79,Yes,0.37,85.3,4.0,0.54,15.03,Yes,0.37,Nov 08 AMC,11.0,14.81,2.0,-3.8,-3.9,-9.33,85452.0,-1.46,459700000.0,21600000.0,538800000.0,29890000.0,27100000.0,158390.0,14.16,22.49,2.88,2.89
AVCT,651,Technology,-,,-4.06,30.4,12.5,,,-0.11,-46.58,,,23.6,16.67,-38.42,0.79,-130.0,72.72,0.26,-72.79,1.93,0.61,-65.7,7.0,-85.11,0.05,23.56,,-431.5,-51.85,,,,-13.0,-85.89,1.11,,0.5,,29.0,39.29,0.19,316.0,0.6,5.8,-55.3,41.71,Yes,0.29,-388.2,-75.7,0.18,1.24,Yes,0.0,-,,1.17,,-10.96,-28.96,-68.15,3642318.0,-5.65,98960000.0,-94500000.0,124800000.0,87050000.0,31680000.0,20470000.0,0.84,8.29,12.14,12.61
AVNS,652,Healthcare,-,,-1.1,0.4,3.25,20.03,39.56,2.65,-6.7,,0.4,91.9,2.71,-11.38,2.01,-13.5,-0.55,3.23,-10.21,26.29,1.16,-3.2,40.0,-38.68,2.02,15.11,6.3,-4.1,-11.97,,99.18,12.8,-2.6,-43.07,0.92,,1.9,7.0,48.4,9.16,1.17,5380.0,3.1,-0.9,-8.3,46.22,Yes,0.11,-282.2,-7.1,0.63,31.26,Yes,0.11,Nov 02 BMO,,30.52,3.0,-1.15,-4.06,-11.59,339891.0,-2.37,1480000000000.0,-52000000.0,736200000.0,48000000.0,47660000.0,400550.0,27.96,53.61,3.29,3.75
AVLR,653,Technology,-,,-1.18,1.0,11.3,,-35.3,-19.26,-5.79,,-0.08,92.8,4.58,-28.89,14.41,11.3,0.06,3.84,-32.4,11.97,9.38,-5.4,195.07,-35.72,18.46,6.08,,-9.4,-13.05,,278.97,12.5,-5.0,-41.43,0.81,,3.3,32.5,71.2,19.15,6.94,3351.0,3.3,41.7,-15.1,51.01,Yes,0.93,-143.1,-15.6,1.49,112.14,Yes,0.93,Feb 10 AMC,,112.26,1.7,6.49,-7.86,-25.42,1536732.0,0.11,9350000000000.0,-101200000.0,648600000.0,86530000.0,85380000.0,1020000.0,94.22,191.67,6.22,6.59
AVK,654,Financial,-,2.98,5.49,0.39,-0.79,,,-60.65,-9.81,,,31.61,,-8.28,20.34,,,0.2,-9.74,20.14,0.81,,,-0.26,,,,,-11.32,1.41,,,,-11.51,,8.61,,,,9.77,0.43,,,-14.2,,42.57,No,,-86.6,,0.73,16.74,Yes,,-,,16.37,,-1.66,-4.21,-6.23,81446.0,-2.21,565180000.0,,27790000.0,34530000.0,,111710.0,14.91,18.5,2.24,2.85
AVGR,655,Healthcare,-,,-0.23,0.4,-4.93,,,-0.06,-42.15,,-0.06,12.2,4.35,-64.55,2.49,85.4,-0.13,1.79,-70.76,0.12,2.32,-57.4,2.0,-85.14,0.25,1.13,,-135.5,-38.24,,,,,-89.59,1.68,,3.4,-3.9,35.3,12.78,0.03,75.0,4.0,4.3,,33.34,No,1.03,21.0,,0.64,0.29,Yes,1.03,-,,0.28,2.0,-7.72,-35.15,-65.19,1467976.0,-4.5,26190000.0,-21100000.0,10500000.0,95380000.0,93900000.0,2280000.0,0.25,2.67,6.02,9.2
AVPT,656,Technology,-,,-1.76,1.5,8.41,128.96,-60.66,6.05,-5.64,,0.0,30.2,3.61,-30.99,8.12,,0.28,3.93,-37.35,1.4,4.42,-8.8,13.2,-58.03,1.45,4.27,,-12.0,-1.59,,,,,-59.75,,,3.3,,89.0,26.07,0.33,1511.0,3.3,35.5,,54.26,Yes,0.0,,-23.0,0.87,6.23,Yes,0.0,Nov 15 BMO,0.0,6.19,1.8,6.64,-0.12,-30.43,883677.0,-0.64,1120000000000.0,-121300000.0,138100000.0,176620000.0,111510000.0,1020000.0,4.91,15.38,4.87,5.66
AVY,657,Industrials,S&P 500,21.13,8.84,0.4,-3.31,17.64,9.8,-2.37,-11.79,2.32,2.22,90.9,1.04,-16.11,1.88,85.1,0.27,1.83,-13.55,21.7,8.61,11.0,236.09,7.72,2.45,76.13,9.12,44.8,-13.77,2.72,25.66,17.5,11.2,-18.54,1.01,1.46,0.7,3.2,27.5,10.84,6.73,32000.0,1.1,19.8,11.6,36.04,Yes,1.78,9.4,8.7,1.79,188.83,Yes,1.56,Feb 02 BMO,28.3,186.74,2.1,-6.33,-9.46,-12.33,829028.0,-1.11,15770000000000.0,740100000.0,8410000000000.0,82900000.0,82270000.0,467780.0,168.47,229.24,3.6,3.28
AVRO,658,Healthcare,-,,-2.86,2.59,-1.14,,13.9,0.0,-19.53,,-0.74,86.3,2.4,-67.78,,-24.3,-0.18,1.19,-71.92,4.44,0.39,-49.0,6.86,-89.71,4.75,0.36,,-52.8,-55.06,,,,,-90.49,1.62,,9.3,,,6.79,0.21,121.0,9.3,,,31.93,Yes,0.0,25.9,,2.13,1.65,Yes,0.0,Nov 04 BMO,,1.73,2.2,-7.41,-38.98,-71.58,1780626.0,4.85,73420000.0,-119000000.0,,43620000.0,42540000.0,856100.0,1.62,18.19,10.26,8.91
AVNW,659,Technology,-,3.19,9.21,2.5,-1.14,10.26,10.83,-2.93,-6.58,0.27,0.59,57.2,4.06,-5.37,1.18,8.8,1.46,3.61,-25.57,17.06,1.72,,55.25,11.3,3.75,7.84,12.0,,-8.35,,127.55,39.3,60.0,-32.82,1.88,,1.6,0.5,37.1,23.39,1.57,661.0,1.8,10.5,,47.27,Yes,0.0,-10.9,,0.9,30.16,Yes,0.0,Feb 02 AMC,,29.4,2.0,-0.52,-3.91,-10.81,103121.0,-2.52,331630000.0,108900000.0,281800000.0,11310000.0,10270000.0,115260.0,23.83,43.76,4.37,5.51
